x1,y1,z1,theta1,x2,y2,z2,theta2,x3,y3,z3,theta3,x4,y4,z4,theta4,x5,y5,z5,theta5
127.200000,111.716502,0.000000,47.942401,272.800000,84.109634,50.000000,-36.650560,127.200000,61.607336,100.000000,-24.923110,272.800000,44.913343,150.000000,-22.269591,127.200000,18.875580,200.000000,-0.639650
127.600000,112.159850,0.000000,47.825194,272.400000,83.812020,50.000000,-36.654901,127.600000,61.421466,100.000000,-24.734511,272.400000,44.749539,150.000000,-21.973537,127.600000,18.871114,200.000000,-0.257739
128.000000,112.601378,0.000000,47.696131,272.000000,83.514359,50.000000,-36.654235,128.000000,61.237194,100.000000,-24.538822,272.000000,44.588143,150.000000,-21.673091,128.000000,18.869315,200.000000,0.123444
128.400000,113.040913,0.000000,47.555117,271.600000,83.216704,50.000000,-36.648570,128.400000,61.054577,100.000000,-24.336018,271.600000,44.429181,150.000000,-21.368270,128.400000,18.870177,200.000000,0.503775
128.800000,113.478280,0.000000,47.402046,271.200000,82.919112,50.000000,-36.637918,128.800000,60.873667,100.000000,-24.126072,271.200000,44.272678,150.000000,-21.059091,128.800000,18.873694,200.000000,0.883130
129.200000,113.913308,0.000000,47.236804,270.800000,82.621635,50.000000,-36.622286,129.200000,60.694520,100.000000,-23.908958,270.800000,44.118659,150.000000,-20.745575,129.200000,18.879860,200.000000,1.261386
129.600000,114.345826,0.000000,47.059263,270.400000,82.324327,50.000000,-36.601680,129.600000,60.517189,100.000000,-23.684652,270.400000,43.967148,150.000000,-20.427744,129.600000,18.888667,200.000000,1.638421
130.000000,114.775664,0.000000,46.869288,270.000000,82.027243,50.000000,-36.576108,130.000000,60.341729,100.000000,-23.453130,270.000000,43.818169,150.000000,-20.105623,130.000000,18.900109,200.000000,2.014113
130.400000,115.202654,0.000000,46.666732,269.600000,81.730435,50.000000,-36.545575,130.400000,60.168193,100.000000,-23.214370,269.600000,43.671745,150.000000,-19.779238,130.400000,18.914176,200.000000,2.388345
130.800000,115.626630,0.000000,46.451436,269.200000,81.433958,50.000000,-36.510084,130.800000,59.996634,100.000000,-22.968352,269.200000,43.527900,150.000000,-19.448617,130.800000,18.930859,200.000000,2.760997
131.200000,116.047427,0.000000,46.223235,268.800000,81.137865,50.000000,-36.469638,131.200000,59.827105,100.000000,-22.715055,268.800000,43.386656,150.000000,-19.113790,131.200000,18.950149,200.000000,3.131953
131.600000,116.464882,0.000000,45.981949,268.400000,80.842208,50.000000,-36.424241,131.600000,59.659658,100.000000,-22.454463,268.400000,43.248036,150.000000,-18.774792,131.600000,18.972036,200.000000,3.501098
132.000000,116.878833,0.000000,45.727391,268.000000,80.547041,50.000000,-36.373894,132.000000,59.494345,100.000000,-22.186560,268.000000,43.112061,150.000000,-18.431655,132.000000,18.996509,200.000000,3.868318
132.400000,117.289121,0.000000,45.459363,267.600000,80.252417,50.000000,-36.318597,132.400000,59.331217,100.000000,-21.911332,267.600000,42.978754,150.000000,-18.084419,132.400000,19.023556,200.000000,4.233503
132.800000,117.695587,0.000000,45.177658,267.200000,79.958388,50.000000,-36.258349,132.800000,59.170326,100.000000,-21.628766,267.200000,42.848134,150.000000,-17.733122,132.800000,19.053166,200.000000,4.596541
133.200000,118.098075,0.000000,44.882057,266.800000,79.665006,50.000000,-36.193149,133.200000,59.011723,100.000000,-21.338854,266.800000,42.720223,150.000000,-17.377807,133.200000,19.085324,200.000000,4.957327
133.600000,118.496431,0.000000,44.572333,266.400000,79.372324,50.000000,-36.122996,133.600000,58.855457,100.000000,-21.041589,266.400000,42.595040,150.000000,-17.018519,133.600000,19.120020,200.000000,5.315753
134.000000,118.890504,0.000000,44.248251,266.000000,79.080393,50.000000,-36.047886,134.000000,58.701578,100.000000,-20.736966,266.000000,42.472607,150.000000,-16.655304,134.000000,19.157238,200.000000,5.671717
134.400000,119.280143,0.000000,43.909563,265.600000,78.789265,50.000000,-35.967815,134.400000,58.550136,100.000000,-20.424984,265.600000,42.352941,150.000000,-16.288212,134.400000,19.196963,200.000000,6.025116
134.800000,119.665200,0.000000,43.556016,265.200000,78.498991,50.000000,-35.882780,134.800000,58.401178,100.000000,-20.105645,265.200000,42.236062,150.000000,-15.917296,134.800000,19.239182,200.000000,6.375852
135.200000,120.045530,0.000000,43.187347,264.800000,78.209623,50.000000,-35.792773,135.200000,58.254754,100.000000,-19.778953,264.800000,42.121989,150.000000,-15.542609,135.200000,19.283879,200.000000,6.723827
135.600000,120.420989,0.000000,42.803285,264.400000,77.921210,50.000000,-35.697791,135.600000,58.110912,100.000000,-19.444916,264.400000,42.010738,150.000000,-15.164211,135.600000,19.331037,200.000000,7.068946
136.000000,120.791436,0.000000,42.403552,264.000000,77.633804,50.000000,-35.597825,136.000000,57.969697,100.000000,-19.103547,264.000000,41.902329,150.000000,-14.782161,136.000000,19.380639,200.000000,7.411118
136.400000,121.156731,0.000000,41.987862,263.600000,77.347455,50.000000,-35.492869,136.400000,57.831157,100.000000,-18.754861,263.600000,41.796778,150.000000,-14.396521,136.400000,19.432669,200.000000,7.750252
136.800000,121.516739,0.000000,41.555925,263.200000,77.062213,50.000000,-35.382914,136.800000,57.695337,100.000000,-18.398879,263.200000,41.694101,150.000000,-14.007358,136.800000,19.487109,200.000000,8.086260
137.200000,121.871326,0.000000,41.107442,262.800000,76.778128,50.000000,-35.267951,137.200000,57.562284,100.000000,-18.035623,262.800000,41.594315,150.000000,-13.614739,137.200000,19.543939,200.000000,8.419057
137.600000,122.220360,0.000000,40.642113,262.400000,76.495248,50.000000,-35.147972,137.600000,57.432041,100.000000,-17.665123,262.400000,41.497436,150.000000,-13.218736,137.600000,19.603142,200.000000,8.748560
138.000000,122.563712,0.000000,40.159632,262.000000,76.213622,50.000000,-35.022967,138.000000,57.304653,100.000000,-17.287411,262.000000,41.403479,150.000000,-12.819422,138.000000,19.664697,200.000000,9.074689
138.400000,122.901255,0.000000,39.659691,261.600000,75.933300,50.000000,-34.892925,138.400000,57.180163,100.000000,-16.902526,261.600000,41.312459,150.000000,-12.416874,138.400000,19.728586,200.000000,9.397367
138.800000,123.232866,0.000000,39.141980,261.200000,75.654330,50.000000,-34.757835,138.800000,57.058614,100.000000,-16.510511,261.200000,41.224389,150.000000,-12.011171,138.800000,19.794787,200.000000,9.716517
139.200000,123.558424,0.000000,38.606192,260.800000,75.376759,50.000000,-34.617686,139.200000,56.940049,100.000000,-16.111414,260.800000,41.139285,150.000000,-11.602394,139.200000,19.863279,200.000000,10.032067
139.600000,123.877811,0.000000,38.052017,260.400000,75.100635,50.000000,-34.472467,139.600000,56.824509,100.000000,-15.705289,260.400000,41.057160,150.000000,-11.190629,139.600000,19.934040,200.000000,10.343947
140.000000,124.190911,0.000000,37.479151,260.000000,74.826006,50.000000,-34.322165,140.000000,56.712034,100.000000,-15.292195,260.000000,40.978026,150.000000,-10.775962,140.000000,20.007049,200.000000,10.652088
140.400000,124.497610,0.000000,36.887295,259.600000,74.552917,50.000000,-34.166769,140.400000,56.602665,100.000000,-14.872197,259.600000,40.901895,150.000000,-10.358483,140.400000,20.082284,200.000000,10.956425
140.800000,124.797800,0.000000,36.276155,259.200000,74.281417,50.000000,-34.006264,140.800000,56.496441,100.000000,-14.445368,259.200000,40.828781,150.000000,-9.938284,140.800000,20.159720,200.000000,11.256896
141.200000,125.091373,0.000000,35.645449,258.800000,74.011550,50.000000,-33.840640,141.200000,56.393401,100.000000,-14.011784,258.800000,40.758695,150.000000,-9.515461,141.200000,20.239335,200.000000,11.553439
141.600000,125.378225,0.000000,34.994904,258.400000,73.743362,50.000000,-33.669881,141.600000,56.293582,100.000000,-13.571530,258.400000,40.691647,150.000000,-9.090110,141.600000,20.321105,200.000000,11.845996
142.000000,125.658255,0.000000,34.324263,258.000000,73.476899,50.000000,-33.493976,142.000000,56.197022,100.000000,-13.124696,258.000000,40.627648,150.000000,-8.662332,142.000000,20.405004,200.000000,12.134512
142.400000,125.931365,0.000000,33.633286,257.600000,73.212205,50.000000,-33.312911,142.400000,56.103758,100.000000,-12.671379,257.600000,40.566708,150.000000,-8.232228,142.400000,20.491009,200.000000,12.418933
142.800000,126.197459,0.000000,32.921752,257.200000,72.949325,50.000000,-33.126673,142.800000,56.013824,100.000000,-12.211683,257.200000,40.508838,150.000000,-7.799903,142.800000,20.579093,200.000000,12.699208
143.200000,126.456446,0.000000,32.189465,256.800000,72.688303,50.000000,-32.935248,143.200000,55.927255,100.000000,-11.745719,256.800000,40.454045,150.000000,-7.365463,143.200000,20.669231,200.000000,12.975289
143.600000,126.708237,0.000000,31.436253,256.400000,72.429182,50.000000,-32.738624,143.600000,55.844086,100.000000,-11.273604,256.400000,40.402339,150.000000,-6.929018,143.600000,20.761397,200.000000,13.247128
144.000000,126.952746,0.000000,30.661976,256.000000,72.172006,50.000000,-32.536786,144.000000,55.764350,100.000000,-10.795465,256.000000,40.353729,150.000000,-6.490677,144.000000,20.855563,200.000000,13.514682
144.400000,127.189889,0.000000,29.866528,255.600000,71.916817,50.000000,-32.329723,144.400000,55.688079,100.000000,-10.311432,255.600000,40.308220,150.000000,-6.050554,144.400000,20.951703,200.000000,13.777908
144.800000,127.419589,0.000000,29.049842,255.200000,71.663656,50.000000,-32.117422,144.800000,55.615304,100.000000,-9.821645,255.200000,40.265822,150.000000,-5.608763,144.800000,21.049789,200.000000,14.036766
